w_wagon_type,w_train_number,w_train_type,w_wagon_number,ss_name,ss_lon,fs_name,fs_lon,f_ticket_cost,f_days_diff
Standard,416,Suburban,10,Gentbrugge,3.756326,Gentbrugge,3.756326,13.709999999999999,20
Female,506,Peak,15,Rhisnes,4.80187,Rhisnes,4.80187,40.54,24
Lux,455,Peak,13,Nijlen,4.666589,Bruxelles-Congrès,4.362051,887.6000000000001,29
Female,126,Suburban,20,Bruxelles-Chapelle,4.34787,Weerde,4.470935,85.77000000000001,20
Standard,346,Suburban,4,Jemeppe-sur-Sambre,4.66263,Franière,4.73355,33.72,16
Standard,3,Intercity,14,Milmort,5.600094,Angleur,5.59983,57.2,28
Standard,252,Intercity,12,Bruxelles-Chapelle,4.34787,Bruxelles-Central,4.356804,7,24
Lux,283,Intercity,10,Lembeek,4.22158,Masnuy-Saint-Pierre,3.96214,751.23,27
Standard,231,Suburban,17,Nieuwkerken-Waas,4.185904,Beveren,4.259525,24.32,29
Lux,434,Peak,12,Aalter,3.447848,Tronchiennes,3.655201,450.41999999999996,27
Standard,470,Peak,17,Kiewit,5.350226,Hasselt,5.327631,7.59,15
Sleeping,553,Peak,18,Izegem,3.212089,Roulers,3.130415,24.47,17
Standard,146,Regular,16,Bruxelles-Chapelle,4.34787,Boitsfort,4.408114,42.05,30
Standard,214,Regular,10,Aarschot,4.82404,Wezemaal,4.747681,45.190000000000005,17
Lux,278,Intercity,18,Herent,4.67219,Bruxelles-Nord,4.36085,608.61,23
Female,18,Regular,10,Leignon,5.10778,Ciney,5.091406,10.88,18
Standard,359,Regular,9,Rebaix,3.793624,Rebaix,3.793624,19.05,31
Standard,263,Suburban,16,Hal,4.240633,Etterbeek,4.389517,92.81,28
Standard,323,Intercity,14,Bruxelles-Nord,4.36085,Schaerbeek,4.37864,6.08,23
Standard,256,Intercity,16,Mouscron,3.228449,Ath,3.777428,205.41,29
Standard,595,Peak,14,Hillegem,3.85747,Zottegem,3.81441,10.6,27
Standard,254,Intercity,15,Belsele,4.08861,Sinaai,4.06894,3.73,26
Lux,199,Intercity,17,Schulen,5.187405,Lede,3.98498,2293.11,25
Standard,453,Suburban,3,Sint-Gillis,4.117831,Sint-Gillis,4.117831,8.309999999999999,19
Standard,58,Intercity,15,Rochefort-Jemelle,5.266697,Rochefort-Jemelle,5.266697,23.630000000000003,28
Standard,491,Suburban,13,Eke-Nazareth,3.627836,Gavere-Asper,3.639728,24.16,27
Female,305,Suburban,6,Zellik,4.274546,Asse,4.207988,48.59,15
Sleeping,397,Regular,2,Leignon,5.10778,Ciney,5.091406,9.97,29
Female,450,Peak,13,Bornem,4.24053,Haacht,4.613306,134.25,30
Female,305,Suburban,6,Zellik,4.274546,Jette,4.326218,16.46,23
Standard,461,Suburban,11,Kessel,4.61846,Kessel,4.61846,18.229999999999997,17
Standard,215,Intercity,20,Yvoir,4.87864,Dinant,4.90818,17.07,29
Sleeping,555,Peak,5,Ingelmunster,3.255416,Courtrai,3.264548,31.59,21
Sleeping,555,Peak,5,Ingelmunster,3.255416,Courtrai,3.264548,31.59,29
Standard,184,Intercity,17,Viville,5.786525,Saint-Denis-Bovesse,4.76779,382.64000000000004,25
Sleeping,408,Regular,17,Poix-Saint-Hubert,5.292646,Poix-Saint-Hubert,5.292646,70.5,19
Female,467,Peak,9,Bruxelles-Chapelle,4.34787,Diegem,4.442773,51.879999999999995,29
Standard,94,Intercity,11,Froyennes,3.354835,Péruwelz,3.592777,117.75000000000003,26
Standard,400,Regular,16,Florenville,5.33112,Bertrix,5.267189,39.86,14
Standard,250,Intercity,18,Herent,4.67219,Erembodegem,4.055451,160.37,18
Lux,365,Intercity,12,Chênée,5.616075,Landegem,3.576856,3564.0299999999997,22
Standard,277,Intercity,7,Jette,4.326218,Bockstael,4.34851,18.17,22
Sleeping,401,Regular,2,Bertrix,5.267189,Libramont,5.37927,43.49,23
Female,8,Regular,3,Beervelde,3.879383,Beervelde,3.879383,67.55,21
Sleeping,232,Regular,9,Wijgmaal,4.701478,Louvain,4.715868,14.75,22
Standard,252,Intercity,12,Bruxelles-Nord,4.36085,Mortsel-Oude God,4.455737,93.94000000000001,16
Standard,495,Peak,4,Erbisoeul,3.887991,Brugelette,3.852551,42.779999999999994,22
Standard,291,Intercity,9,Nimy,3.956093,Forchies,4.325381,118.07,18
Sleeping,358,Regular,2,Acren,3.84709,Lessines,3.836434,26.72,18
Standard,456,Peak,3,Begijnendijk,4.80034,Melkouwen,4.671533,49.760000000000005,16
Standard,424,Regular,12,Furnes,2.66994,Coxyde,2.652773,49.46,24
Female,202,Suburban,4,Liedekerke,4.09529,Asse,4.207988,164.06,25
Sleeping,555,Peak,5,Ingelmunster,3.255416,Ingelmunster,3.255416,43.89,30
Female,525,Suburban,17,Renaix,3.60255,Audenarde,3.600388,41.14,16
Standard,390,Regular,18,Oudegem,4.064472,Kwatrecht,3.829591,59.01,30
Standard,200,Intercity,2,Opwijk,4.187317,Denderleeuw,4.07183,138.40000000000003,25
Standard,470,Peak,17,Kiewit,5.350226,Hasselt,5.327631,7.59,27
Lux,521,Peak,10,Namur,4.86222,Jambes,4.876143,37.3,23
Standard,103,Intercity,8,Bokrijk,5.408383,Kortenberg,4.5433,239.87999999999997,20
Standard,123,Intercity,13,Wevelgem,3.183519,Menin,3.11379,40.5,29
Female,560,Peak,4,Muizen,4.51384,Wespelaar-Tildonk,4.638014,59.199999999999996,29
Standard,461,Suburban,11,Wolfstee,4.786148,Wolfstee,4.786148,13.870000000000001,27
Female,169,Suburban,20,Lillois,4.365369,Holleken,4.353956,76,18
Female,552,Peak,14,Bambrugge,3.935715,Erpe-Mere,3.96246,22.610000000000003,22
Standard,501,Peak,11,Leignon,5.10778,Leignon,5.10778,11.67,27
